Hot Bird 5 (Eurobird 2),25495,25.49
UHF F/O F9,25501,31.1
Afristar,25515,20.99
GE 5,25516,-79.01
Intelsat IS-8,25522,165.98
BONUM-1,25546,55.93
Satmex 5,25558,-116.81
Intelsat IS-6B,25585,-67.92
Galaxy 26 (IA-6),25626,50.74
Blok DM-2,25645,-89.61
Raduga-1,25642,49.58
JCSAT 4A,25630,123.97
Arabsat 3A,25638,-42.42
Skynet 4E,25639,35.45
Asiasat 3S,25657,105.46
Insat 2E,25666,83.01
Eutelsat W3,25673,21.61
Nimiq,25740,-91.18
Astra 1H,25785,19.21
Telkom 1,25880,107.97
Blok DM-2M No. 4L,25900,25
Yamal-102,25896,-108.35
Yamal-101,25897,89.72
Mugunghwa 3,25894,116.16
Galaxy 27 (IA-7),25922,-129
Echostar 5,25913,144.07
LMI 1 (ABS 1),25924,74.94
DirecTV-1R,25937,-72.56
Telstar 12,25949,-14.99
GE 4,25954,-101.01
UHF F/O F10,25967,72.7
Galaxy 11,26038,32.76
USA 148,26052,-135.21
Galaxy 10R,26056,-110.03
Zhongxing-22,26058,97.91
Hispasat 1C,26071,-30.05
Garuda 1,26089,123.09
Superbird B2,26095,161.97
Ekspress 6A,26098,102.7
Blok DM-2M No. 10L,26101,33.72
Insat 3B,26108,82.89
Asiastar,26107,104.96
Blok DM-2M No. 9L,26246,-179.93
Sesat,26243,16.02
Galaxy IVR,26298,125.13
DSP F20 (USA 149),26356,-164.32
GOES 11,26352,-135.65
Eutelsat W4,26369,36.09
Briz-M No. 88502L,26373,-23.73
Gorizont,26372,-11.94
Blok DM-2 No. 89L,26381,-77.9
Ekspress 3A,26378,117.53
Feng Yun 2B,26382,-33.99
FG-36 AKM,26460,-151.14
Blok DM-2 No. 90L,26397,83.4
Kosmos-2371,26394,70.32
Sirius 1,26390,-64.88
TDRS 8,26388,89.03
Echostar VI,26402,-61.71
Intelsat IS-9,26451,-58.06
Nilesat 102,26470,-7.06
Brasilsat B4,26469,-84.07
Blok DM-2 No. 87L,26480,-8.29
Raduga-1,26477,103.72
Sirius 2,26483,-66.03
Eutelsat W1,26487,3.92
GE 7,26495,-137.03
Astra 2B,26494,28.15
Worldsat-1 (GE-1A),26554,108.16
N-SAT-110 (JCSAT-110),26559,110.04
USA 153,26575,-12.08
Thuraya 1,26578,52.76
GE 6,26580,-72.06
Intelsat IS-12,26590,44.99
Beidou Daohang Shiyan Wei.,26599,139.92
Intelsat IS-1R,26608,-50.02
Anik F1,26624,-107.34
Sirius 3,26626,-66.85
USA 155,26635,-10.13
Astra 2D,26638,28.17
Aurora 3,26639,-139.02
Beidou Daohang Shiyan Wei. 2,26643,80.16
Turksat 2A,26666,41.94
Skynet 4F,26695,-34.08
SICRAL 1,26694,16.11
USA 157,26715,152.13
Centaur TC-22,26716,-13.03
BSAT-2a,26720,109.8
Eurobird 1,26719,28.42
XM-Rock,26724,-85.28
Briz-M No. 88503L,26738,147.19
Ekran-M,26736,5.84
GSAT-1,26745,172.14
XM-Roll,26761,-85.18
Intelsat IS-10,26766,68.46
INTELSAT 901,26824,-18.01
Astra 2C,26853,31.5
DSP F21 (USA 159),26880,69.53
GOES 12,26871,-74.9
Blok DM-2 No. 99L,26895,53.04
Kosmos-2379,26892,27.32
INTELSAT 902,26900,61.93
Atlantic Bird 2,26927,-8.09
Blok DM2,26939,103.6
Raduga-1,26936,-74.72
USA 162,26948,-144.05
DirecTV-4S,26985,-101.15
Centaur TC-19,27169,179.11
USA 164,27168,30.11
Insat 3C,27298,73.96
INTELSAT 904,27380,59.93
Echostar 7,27378,-118.92
Astra 3A,27400,23.43
INTELSAT 903,27403,-34.56
JCSAT 2A,27399,153.98
NSS-7,27414,-22
DirecTV-5,27426,-110.15
Blok DM-2M No. 11L,27444,-9.12
Ekspress A1R,27441,-14.04
INTELSAT 905,27438,-24.5
Galaxy 3C,27445,-95.06
Atlantic Bird 3,27460,-5.01
N-Star c,27461,136.02
Echostar VIII,27501,-77.05
Hot Bird 6,27499,13.01
Atlantic Bird 1,27508,-12.57
Meteosat 8,27509,9.3
INTELSAT 906,27513,64.12
Kodama,27516,90.71
KALPANA-1,27525,73.92
Hispasat 1D,27528,-29.95
TDRS 9,27389,-62.32
Artemis,26863,21.2
Eutelsat W5,27554,70.46
TDRS 10,27566,-40.89
NSS 6,27603,94.97
Nimiq 2,27632,-91.19
INTELSAT 907,27683,-27.5
DSCS III A-3,27691,75.2
Centaur TC-23,27712,49.91
USA 169 (Milstar 6),27711,-67.86
Insat 3A,27714,93.48
Galaxy XII,27715,-122.94
Asiasat 4,27718,122.21
Blok DM-2 No. 96L,27780,15.69
Kosmos-2397,27775,-1.08
GSAT-2,27807,47.98
Hellas Sat 2,27811,38.94
Beidou Daohang Shiyan Wei. 3,27813,110.45
